,Unnamed: 0,comments,hate,microlabel,source,probability,pred
0,0,절라남도 벌레?,1,지역,온라인 댓글,0.9227949,1.0
1,1,부산에서 학식먹었는데 mt 동기mt 동아리mt 단한번도 해운대 안감 부산 현지인들이 다른데가야한다해서 안감 존나 더러운거 아니깐 ㅋㅋ,1,지역,온라인 댓글,0.23337266,0.0
2,2,쌍도 여혐끝판왕의성지,1,지역,온라인 댓글,0.2951584,0.0
3,3,제목보고 전라도 직감,1,지역,온라인 댓글,0.31462374,0.0
4,4,홍어지 병신아 ㅋㅋㅋ,1,지역,온라인 댓글,0.7929931,1.0
5,5,홍어짓인듯...,1,지역,온라인 댓글,0.38093045,0.0
6,6,어휴 전라도 사투리컨셉잡고 노는새끼들이ㅋㅋㅋㅋㅋㅋㅋ전라도사투리 나왔다고 전라도면ㅋㅋㅋㅋㅋㅋㅋㅋㅋ여기 있는새끼들 절반이 홍어냐?,1,지역,온라인 댓글,0.9122775,1.0
7,7,호남2중대 ㅁㅈㅎ,1,지역,온라인 댓글,0.22344598,0.0
8,8,시발 경상도새끼들 작작해라경기도 밑으로 분리독립 시키면 안되나,1,지역,온라인 댓글,0.9252706,1.0
9,9,머구놈들 정의로운척 쩌네,1,지역,온라인 댓글,0.9312918,1.0
10,10,이거 일베충반 홍어반이 아니라 홍어가 철이네 철이야ㅋㅋㅋㅋㅋㅋㅋ 물보다 홍어가 많노 이기이기,1,지역,온라인 댓글,0.9293908,1.0
11,11,하여간 우덜식이노우덜이니 씨발,1,지역,온라인 댓글,0.37201178,0.0
12,12,지가 전라도면서,1,지역,온라인 댓글,0.39827484,0.0
13,13,전라도색기들은 말하는게 참........... 이상해............ ;;;;;;;;;;;;,1,지역,온라인 댓글,0.48804182,0.0
14,14,마 시팔 당당하게 윤보선하고 선거해서... 고무신 받은 전라도 몰표받고 당선됐다 이기야!!!! 유신 전까지는 민주성과 관련해서 하자가 없었음.,1,지역,온라인 댓글,0.47653252,0.0
15,15,홍어새끼들 개좆같음,1,지역,온라인 댓글,0.92156774,1.0
16,16,강라디언이 또..,1,지역,온라인 댓글,0.052200533,0.0
17,17,죽은 홍어도 존나 개새끼다 시발,1,지역,온라인 댓글,0.9297461,1.0
18,18,시체도 강간하는 경상도보단..,1,지역,온라인 댓글,0.46128196,0.0
19,19,홍들홍들ㅋㅋ홍어샊히들 존나많네,1,지역,온라인 댓글,0.9290682,1.0
20,20,부산 ㅁㅈㅎ 좆병신들 가면 조또 할것도 없고,1,지역,온라인 댓글,0.49165082,0.0
21,21,멍청도식 오랜만이노 이기,1,지역,온라인 댓글,0.9057591,1.0
22,22,조만간 전라도에서 최연소 기록 갱신한다,1,지역,온라인 댓글,0.12066555,0.0
23,23,전라도 기자넘은 기사에 내용도 없고 제놈도 무슨 말 하는지 모를고 선동만 절라 해댐,1,지역,온라인 댓글,0.7932309,1.0
24,24,전라도? 끄덕끄덕 .. 대체 얼마나 날림공사를 한거냐 시팔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,지역,온라인 댓글,0.9285392,1.0
25,25,경상도 여자들 자기가 속아서 문재인찍어놓은게 열받아서 저렇게 글쓰는듯전부 출세한 사람들 전라도 사람들,1,지역,온라인 댓글,0.93305993,1.0
26,26,문재인 지지율은 이미 전국 75%~80%인 상황이라 다 잘한다고 박수치고 있는데 통베충들만 왕따 중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ반면 씹그네 지지율은 10%대 아래로 폭락한 상황에서도 대구경북에서는 잘하고 있다고 60%이상이 지지함. 누가 진짜 또라이인지!?!?,1,지역,온라인 댓글,0.91872257,1.0
27,27,나머지>>>>>>씹넘사>>>>>병신허세+부심좆되는 쌍도>>>>통수홍어ㅇㄱㄹㅇ ㅂㅂㅂㄱ,1,지역,온라인 댓글,0.9045656,1.0
28,28,전라도 사람들이 머리좋고 영리하긴 하더라경상도놈들 무식한건 전국민이 다 알고,1,지역,온라인 댓글,0.4361577,0.0
29,29,슨상고향 ㅁㅈㅎ ㅋㅋ,1,지역,온라인 댓글,0.100557856,0.0
30,30,캬 전라도를 통수,1,지역,온라인 댓글,0.4621344,0.0
31,31,김보름 마녀사냥 보면 알수있지...특히 심한곳은 전라도종특,1,지역,온라인 댓글,0.72870725,1.0
